,V0226,V0227,V02270,V02271,V02272,V02273,V02274,V2027
1627,2.0,,3.0,0.0,1.0,3.0,3.0,1.0
1628,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
1630,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1632,2.0,,2.0,0.0,3.0,3.0,3.0,1.0
1634,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
1635,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
1637,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1638,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1639,2.0,,2.0,1.0,1.0,1.0,3.0,1.0
1640,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
1650,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1660,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
1663,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1664,2.0,,1.0,1.0,1.0,1.0,3.0,3.0
1669,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
1672,2.0,,0.0,1.0,1.0,3.0,3.0,3.0
1676,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1677,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1678,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
1680,2.0,,2.0,0.0,1.0,3.0,3.0,3.0
1682,2.0,,1.0,0.0,1.0,3.0,5.0,1.0
1685,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1688,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1691,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
1692,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1693,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
1695,2.0,,4.0,1.0,3.0,1.0,3.0,1.0
1696,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
1697,2.0,,2.0,0.0,1.0,1.0,1.0,3.0
1698,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1699,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
1702,2.0,,2.0,1.0,1.0,1.0,3.0,1.0
1703,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1704,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
